"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2019,5,117796497,9.5,1,11841900
2019,12,117796574,4,1,11841904
2019,12,117803049,2,9,11846104
2019,12,117802825,0.2,1,11846055
2019,2,117802835,1,9,11846058
2019,5,117802837,2,9,11846059
2019,4,117802840,1,9,11846060
2019,5,117802843,4,9,11846061
2019,5,117802863,9,9,11846064
2019,5,117802890,4,9,11846072
2019,5,117802893,1,9,11846075
2019,5,117802905,1,9,11846078
2019,5,117802914,1,1,11846079
2019,8,117802962,1,9,11846082
2019,5,117802967,1,9,11846083
2019,16,117802969,4,9,11846084
2019,5,117802972,5,9,11846086
2019,16,117802972,131,9,11846088
2019,11,117802972,1,9,11846087
2019,9,117802989,5,9,11846095
2019,5,117803006,1,9,11846096
2019,12,115743412,0.5,1,11296687
2019,4,115743412,1,9,11296686
2019,12,115743766,8,1,11289747
2019,12,115738361,7,9,11289751
2019,5,115744315,1,9,11285782
2019,5,115738387,1,1,11296775
2019,2,115738387,1,9,11289753
2019,12,115738387,1,9,11285785
2019,5,115738431,1,1,11296782
2019,2,115743881,1,9,11289762
2019,5,115743881,1,9,11285799
2019,16,117802412,1,1,11845993
2019,5,117802427,1,9,11845996
2019,17,117802427,1,9,11845998
2019,17,117802513,1,9,11846009
2019,8,117802427,222,9,11845997
2019,5,117802521,0.3,1,11846010
2019,5,117802525,2,1,11846011
2019,5,117807102,32,1,11848143
2019,12,117802565,0.3,1,11846019
2019,8,117802578,1,9,11846020
2019,5,117807138,1,1,11848149
2019,12,117802584,1,9,11846025
2019,5,117802585,7.92,1,11846026
2019,17,117802585,10.97,1,11846027
2019,11,117802592,1,9,11846029
2019,4,117802592,1,9,11846028
2019,5,117802609,1,9,11846031
2019,5,117802615,4.48,1,11846032
2019,16,117802623,17,9,11846033
2019,5,117802651,2.39,1,11846034
2019,12,117802651,0.58,1,11846035
2019,8,117807227,50,9,11848158
2019,17,117802691,0.59,1,11846036
2019,4,117802700,1,9,11846037
2019,12,117802700,1,9,11846038
2019,15,117802700,14,9,11846039
2019,8,117802724,1,9,11846041
2019,5,117807293,1,9,11848164
2019,8,117807297,2,9,11848167
2019,5,117802734,1,9,11846042
2019,12,117802742,1,9,11846043
2019,12,117802743,1,9,11846044
2019,5,117802752,1,9,11846045
2019,5,117802759,1,9,11846046
2019,5,117802766,1,9,11846047
2019,16,117802767,1,9,11846049
2019,2,117802767,1,9,11846048
2019,5,117802769,1,9,11846050
2019,8,117802782,2,9,11846051
2019,8,120932407,19,9,12937110
2019,5,121579718,10.6,1,13108265
2019,12,121579718,0.2,1,13119135
2019,12,121579732,1,11,13119137
2019,12,121578294,1,1,13114023
2019,12,121584733,3,9,13108364
2019,17,121584733,4.5,9,13108365
2019,15,121584733,1,9,13119180
2019,17,121584745,1,9,13108373
2019,4,121584783,1,9,13108385
2019,12,121584812,9.5,9,13108390
2019,12,121584923,0.48,1,13114032
2019,16,121578347,1,9,13108420
2019,8,121578347,1,9,13108419
2019,5,121585035,1.2,1,13108438
2019,5,121585122,1,9,13108447
2019,8,120936382,1,9,12947608
2019,12,120936382,2,1,12947609
2019,5,120936382,1,1,12947607
2019,5,120936388,1,9,12947611
2019,4,120936351,1,9,12947595
2019,5,121578134,0.9,1,13114002
2019,5,121578145,2,1,13114003
2019,5,121578178,11.5,1,13114004
2019,12,121579866,1,9,13119153
2019,12,121579882,0.7,1,13119155
2019,5,120928141,1,11,12937083
2019,12,120936201,2.3,1,12947570
2019,8,120936219,0.7,1,12947572
2019,5,120936219,11.5,9,12947571
2019,5,121578298,2.67,1,13114024
2019,5,121578304,1,9,13114026
2019,8,121578304,1,9,13114027
2019,12,121584807,1,1,13108388
2019,8,121584823,1,9,13108394
2019,12,121578327,1,9,13108409
2019,5,121578338,1,3,13108413
2019,5,121585070,7.97,1,13108441
2019,17,121585070,1,9,13108442
2019,12,121578398,3,1,13114039
2019,5,121578407,1,1,13119193
2019,12,121578411,1,9,13114042
2019,4,121578411,1,9,13114041
2019,8,121585198,1,9,13108465
2019,5,121578460,1,9,13114047
2019,8,121578492,1,9,13119214
2019,8,121578499,92,9,13108469
2019,12,121578500,0.64,1,13114051
2019,8,121578511,1,9,13114052
2019,4,121578513,2.14,1,13114053
2019,12,121578513,12.98,1,13114054
2019,12,121585273,1.5,1,13108471
2019,5,120932279,2,1,12937091
2019,5,120936242,2.3,1,12947573
2019,5,120936277,5.2,1,12947580
2019,7,120936279,192.5,9,12947582
2019,17,119234796,1,9,12382492
2019,12,119234764,7,1,12382489
2019,5,119234784,1.6,1,12382490
2019,17,119234932,1,9,12364736
2019,8,119234953,2,9,12382521
2019,5,120318679,1,9,12800208
2019,18,120318679,,,12800210
2019,8,120318679,57,9,12800209
2019,5,120318850,1,9,12800252
2019,16,120318873,1,9,12800261
2019,8,120318885,1,9,12800265
2019,8,120318893,1,9,12800266
2019,5,120318710,1,9,12800221
2019,13,120318794,5,9,12800238
2019,2,120318865,1,9,12800258
2019,5,120318865,1,9,12800259
2019,8,120318865,1,9,12800260
2019,5,120318925,2.4,1,12800272
2019,4,120285893,2,9,12792761
2019,5,120318969,1,9,12800275
2019,17,120319034,1,9,12800290
2019,5,120319093,1,9,12800304
2019,8,120285932,1,9,12792769
2019,5,120319118,0.6,1,12800308
2019,16,120318316,13.9,1,12800153
2019,8,120318316,1,9,12800152
2019,18,120318316,,,12800154
2019,5,119234752,1,9,12382488
2019,5,119234794,1,3,12382491
2019,5,119234817,0.2,1,12382496
2019,12,119234862,2.5,1,12364730
2019,5,119234862,1,1,12382498
2019,16,119234964,,,12364738
2019,5,119234976,1.5,9,12382533
2019,5,119235021,2,9,12382539
2019,8,119173199,5,9,12337915
2019,5,119173199,1,9,12337914
2019,17,119235053,0.3,1,12382550
2019,8,119235057,5,9,12382552
2019,8,119235083,1,9,12382559
2019,4,119235095,28,1,12382561
2019,5,119235096,1,9,12382562
2019,4,119235098,7,1,12382564
2019,12,119235098,1,9,12382565
2019,12,119235110,0.3,1,12382566
2019,5,119173296,4.5,1,12337924
2019,5,119235141,1,1,12382568
2019,3,119235161,1,9,12382571
2019,5,119235173,1,9,12382572
2019,9,119235235,1,9,12382580
2019,5,119172847,1,9,12337830
2019,8,119234994,1,9,12382535
2019,9,119234994,2,9,12382536
2019,8,119234998,4,9,12382537
2019,12,119172982,6,1,12337857
2019,12,119173071,1,9,12337879
2019,5,119235028,3,9,12382541
2019,16,119235028,3,9,12382542
2019,8,119235029,1,9,12382543
2019,2,119173182,1,9,12382544
2019,4,119173182,8,9,12382545
2019,18,119173182,,,12382546
2019,12,119235045,2,9,12382548
2019,15,119235045,21,9,12382549
2019,12,119235056,1.5,1,12382551
2019,16,119235067,1,9,12382555
2019,16,119235077,1,9,12382558
2019,8,119235087,1,9,12382560
2019,5,120318445,4.2,1,12800167
2019,16,120318445,0.25,7,12800168
2019,12,120318453,4.5,1,12800171
2019,16,120318486,30,9,12800172
2019,5,120318494,1.4,1,12800173
2019,12,120318526,21,1,12800176
2019,12,120318529,1,9,12800177
2019,17,120318565,15.6,1,12800181
2019,5,120318605,1,9,12800192
2019,8,120318787,1,9,12800237
2019,12,120318636,1,9,12800198
2019,12,120318644,2,1,12800200
2019,4,120318658,1,9,12800202
2019,5,120318824,0.2,1,12800248
2019,5,120318927,1,9,12800273
2019,5,120318957,1,9,12800274
2019,4,120285895,1,9,12792762
2019,17,120318974,1,9,12800277
2019,5,120318974,1,1,12800276
2019,8,120318995,4,9,12800279
2019,5,120319001,1,7,12800280
2019,12,120319013,1,9,12800284
2019,4,120319013,1,9,12800283
2019,5,120319018,2,9,12800285
2019,11,120319018,1,9,12800286
2019,8,120319042,1,5,12800292
2019,8,120319055,1,9,12800294
2019,8,120319067,3,9,12800297
2019,5,120514778,1.9,1,12857526
2019,17,120514797,1,9,12857529
2019,5,120514797,1,9,12857528
2019,5,120509894,0.7,1,12852536
2019,12,120514806,71,4,12857531
2019,5,120508998,4,9,12838274
2019,8,120318378,1,9,12800159
2019,8,120318709,14,9,12800219
2019,17,120318709,1,9,12800220
2019,5,120318709,4,9,12800216
2019,5,120318374,0.5,1,12800157
2019,5,120318371,8.1,1,12800156
2019,5,120318377,0.2,1,12800158
2019,12,120318420,0.258,1,12800164
2019,12,120318355,2,9,12800155
2019,4,120318420,0.5,1,12800163
2019,5,120318446,1,9,12800169
2019,5,120318495,0.4,1,12800174
2019,5,120318497,1,9,12800175
2019,12,120318566,2,1,12800182
2019,5,120318568,12,1,12800183
2019,5,120318573,41.8,1,12800184
2019,8,120318573,222.8,1,12800185
2019,5,120318677,7.4,9,12800207
2019,16,120318685,3,9,12800211
2019,8,120318721,1,1,12792757
2019,5,120318752,1,9,12800228
2019,16,120318752,1,9,12800229
2019,5,120318754,21,9,12800230
2019,11,120318754,2,9,12800232
2019,8,120318754,101,9,12800231
2019,12,120318765,28,1,12800235
2019,8,120318765,114,9,12800234
2019,12,120318808,1.7,1,12800243
2019,5,120318811,1,9,12800244
2019,8,120318811,1,9,12800245
2019,5,120318812,2,1,12800246
2019,8,120318830,1,9,12800249
2019,5,120318830,3,1,12792758
2019,11,120318848,1,1,12800251
2019,8,120318851,1,9,12800253
2019,5,120318855,3,9,12800254
2019,16,120318855,2,9,12800255
2019,16,120318857,10,9,12800256
2019,8,120318862,1,9,12800257
2019,4,120285878,1,9,12792759
2019,16,120318383,0.5,7,12800160
2019,5,120318417,1,1,12800161
2019,5,120318419,1.5,1,12800162
2019,8,120318451,1,9,12800170
2019,2,120318531,1.5,1,12800178
2019,5,120318536,10,1,12800179
2019,5,120318546,2.8,1,12800180
2019,5,120318578,2,1,12800186
2019,8,120318664,1,1,12800205
2019,5,120318742,1,9,12800225
2019,5,120318807,1,9,12800242
2019,16,120285883,1.4,1,12800269
2019,17,120285883,42,1,12800270
2019,5,120285883,7.5,1,12800268
2019,12,120318988,1,9,12800278
2019,12,120319005,1,9,12800281
2019,5,120319031,28,1,12800288
2019,8,120319036,1,9,12800291
2019,12,120319050,1,1,12800293
2019,12,120319058,1,9,12800295
2019,5,120319069,3.5,1,12800298
2019,5,120319101,3.3,1,12800306
2019,5,120319114,1,1,12800307
2019,5,120319121,1,1,12800309
2019,12,120319121,1,1,12800310
2019,8,120319122,10,9,12800311
2019,16,120319122,3,9,12800312
2019,5,120319139,1.2,1,12800317
2019,5,120319146,25,1,12800321
2019,12,120319146,15.5,1,12800322
2019,5,120319147,0.1,1,12800323
2019,5,120319150,2,1,12800325
2019,12,120319157,0.25,9,12792782
2019,5,120319159,1,9,12800330
2019,5,120319162,1,9,12800331
2019,5,120514743,3,1,12857517
2019,12,120514752,1.8,1,12857518
2019,12,120514753,2,9,12857520
2019,5,120509814,1,11,12852532
2019,16,120514753,2,9,12857521
2019,5,120514753,6.5,9,12857519
2019,5,120514754,8.8,1,12857522
2019,5,120514767,20.5,1,12857524
2019,12,120514772,1.2,1,12857525
2019,5,120514791,0.5,1,12852534
2019,16,120514791,2,9,12857527
2019,5,120514796,17.6,1,12838271
2019,7,120509887,16,9,12857530
2019,12,120509887,11.4,1,12852535
2019,5,117796484,2,1,11841898
2019,5,115738038,0.8,1,11285655
2019,12,115738038,10.2,1,11285656
2019,16,115738038,1,9,11285657
2019,4,115738307,1,9,11285767
2019,5,115743739,1,9,11289743
2019,12,115743739,1,9,11289745
2019,8,115743739,1,9,11289744
2019,5,115738348,1,9,11285773
2019,5,115744303,1,9,11289750
2019,8,115744314,1,9,11296774
2019,12,115738408,1,9,11289755
2019,18,115738457,,,11296786
2019,5,115738457,3,9,11289759
2019,4,115738457,1,9,11289758
2019,5,115738487,2,1,11285803
2019,18,117802429,,,11846001
2019,2,117802429,1,9,11845999
2019,5,117802429,1,9,11846000
2019,5,117414040,46.3,1,11763970
2019,8,117414120,12,9,11763997
2019,5,117421949,0.78,1,11769067
2019,2,117422026,4,1,11769084
2019,16,117422051,1,1,11760079
2019,16,117421737,1,9,11769036
2019,5,117413983,1.31,1,11763956
2019,5,117418744,1.2,1,11760033
2019,5,117421845,2.49,1,11769041
2019,12,117421849,1,9,11769042
2019,16,117421851,136,9,11769043
2019,12,117421901,1,9,11763989
2019,5,117414164,1,1,11760069
2019,8,117421963,1,9,11764010
2019,8,117421978,1,9,11769075
2019,12,117418707,1,11,11760027
2019,5,117418732,0.58,1,11760029
2019,12,117418732,2.84,1,11760030
2019,5,117413986,1.12,1,11763957
2019,16,117421786,3.5,9,11760034
2019,12,117414037,0.27,1,11763969
2019,4,116055257,1,9,11402420
2019,5,116055361,1,9,11402444
2019,8,116055504,3,9,11402463
2019,4,116055031,0.6,1,11402377
2019,5,116055301,1,9,11402428
2019,5,116050759,1,9,11397459
2019,17,116055414,1,9,11397481
2019,12,116050837,1,9,11397487
2019,4,116050837,1,9,11397486
2019,5,116055522,2,9,11402468
2019,5,116050408,1,9,11397376
2019,16,116055029,1,1,11402376
2019,5,116055040,3.9,1,11397382
2019,8,116050677,1,7,11397442
2019,4,116055314,1,9,11402431
2019,5,116050831,2,9,11397484
2019,8,116050855,10,9,11397490
2019,5,116055472,1,9,11397491
2019,12,116050433,0.6,1,11397380
2019,8,116050794,1,7,11402446
2019,5,116050801,1,1,11397473
2019,5,116055280,1,9,11397446
2019,12,116050748,1,1,11397454
2019,12,116055350,0.1,1,11397469
2019,5,116050811,2,9,11397474
2019,8,116050945,1,9,11397500
2019,5,116050945,1,9,11397499
2019,12,116055013,1.3,1,11402373
2019,5,116050445,1.799,9,11397381
2019,5,116055422,1,9,11397485
2019,2,116055463,1,9,11402454
2019,5,116055463,6,9,11402455
2019,18,116055463,,,11402456
2019,5,116055527,2,9,11402469
2019,5,116050765,1,9,11397465
2019,8,116055370,,,11402445
2019,5,116055043,1.1,1,11397383
2019,16,116050709,5,9,11397449
2019,5,116050820,1,9,11402449
2019,8,116055516,1,5,11402465
2019,12,116055014,34.47,1,11402374
2019,5,116050472,2200.5,5,11402379
2019,8,116050754,1,9,11397457
2019,5,116055430,1,1,11402451
2019,5,116055327,1,1,11402434
2019,5,116050768,0.5,9,11397467
2019,5,116055439,3,9,11402452
2019,5,116055517,2,9,11402466
2019,5,116054991,3,1,11397378
2019,5,116050894,1,9,11402459
2019,2,116055500,3,1,11397495
2019,8,116055500,2,9,11397496
2019,8,116184728,1,9,11442531
2019,4,116184731,3,1,11442532
2019,12,116184731,13.8,1,11442533
2019,5,116194780,4.3,1,11447507
2019,5,116184837,2.62,1,11442540
2019,5,116184842,2,9,11442541
2019,5,116184868,1,9,11442544
2019,12,116184872,0.8,1,11442545
2019,17,116184877,3,9,11442546
2019,12,116184906,2,1,11442551
2019,5,116184906,1,1,11442550
2019,2,116184910,0.26,1,11442553
2019,5,116184927,0.19,1,11442554
2019,8,117421950,32,9,11760068
2019,5,117418993,1,9,11760078
2019,12,117418918,0.5,1,11760060
2019,5,117418918,6.98,1,11760059
2019,8,117418966,1,9,11769076
2019,8,117418972,13,9,11760074
2019,5,117418972,3,1,11760073
2019,9,117418972,1,9,11760075
2019,12,117419011,3,9,11760082
2019,1,117419011,4.17,1,11760080
2019,5,117419011,3.84,1,11760081
2019,5,117419022,2,9,11760086
2019,8,117414242,1,9,11769103
2019,5,117414257,1,9,11769106
2019,17,117419052,1,9,11760093
2019,8,117419080,8.5,9,11760100
2019,18,117419080,,,11760101
2019,4,117419080,1,9,11760099
2019,5,117419092,1,9,11760102
2019,8,117422196,1,5,11769128
2019,4,117422204,1,9,11769129
2019,12,117422204,1,9,11769130
2019,17,117422204,1,9,11769131
2019,5,117419135,1,9,11760107
2019,8,117419135,29,9,11760108
2019,11,117419135,2,9,11760109
2019,5,117419144,2.45,1,11760110
2019,8,117419155,11,9,11760111
2019,5,117419159,2,9,11760112
2019,8,117419159,1,9,11769138
2019,16,117422282,3,9,11769150
2019,5,117419230,0.24,1,11760117
2019,12,117419230,0.18,1,11760118
2019,5,117422297,1,11,11769154
2019,5,117419262,1,11,11760124
2019,16,117419262,2,9,11760125
2019,5,117422349,1,9,11769164
2019,5,117419286,1.81,1,11760127
2019,5,117419288,1,9,11760128
2019,5,117419289,1,9,11760129
2019,12,117419301,0.33,1,11760131
2019,12,117419302,0.43,1,11760132
2019,12,117419303,1,1,11769170
2019,16,117419303,3,9,11760133
2019,8,117422389,1,9,11769172
2019,5,117419314,1,9,11760134
2019,5,117422403,3.59,9,11769175
2019,12,117419322,0.81,1,11769178
2019,8,117419326,1,9,11760135
2019,12,117422474,15.45,1,11769187
2019,5,117419367,7.45,1,11769188
2019,17,117419372,0.8,1,11760140
2019,12,117419384,1,1,11760141
2019,16,117421695,2,9,11760026
2019,5,117418729,1,1,11760028
2019,17,117414019,10.28,1,11763960
2019,8,120318726,2,9,12800223
2019,16,120285887,1,9,12792760
2019,12,120285887,1,9,12800271
2019,5,120319022,0.5,1,12800287
2019,5,120285911,1,9,12792766
2019,5,120319077,12,1,12800303
2019,8,120319095,1,9,12800305
2019,5,120319095,2,9,12792767
2019,8,120285929,1,9,12792768
2019,12,120285935,2.1,1,12792771
2019,5,120285935,0.8,1,12792770
2019,8,120285947,3,9,12792775
2019,12,120285947,1,1,12792776
2019,17,120285947,1,9,12792777
2019,5,120285956,0.5,1,12800316
2019,3,120285959,1,9,12792779
2019,12,120285963,1.2,9,12792780
2019,12,120285965,2.5,1,12792781
2019,5,120319149,13.2,1,12800324
2019,5,120285977,1,7,12792783
2019,12,120319158,8,1,12800328
2019,17,120508986,1,11,12838272
2019,12,120508976,0.6,1,12838270
2019,12,115734019,0.1,1,11289667
2019,8,115743728,1,9,11289741
2019,5,115738372,1,9,11285780
2019,12,116148664,1,1,11435459
2019,5,116155756,1,9,11435449
2019,5,116153131,0.12,1,11426583
2019,15,116148822,1,9,11435477
2019,5,116155856,31.3,1,11426586
2019,5,116153150,10,9,11435481
2019,8,116153150,4,9,11426587
2019,5,116148841,63,9,11435482
2019,12,116153190,1.18,1,11426595
2019,12,116155879,0.38,1,11431140
2019,5,116155891,11.5,1,11426599
2019,12,116153213,0.44,1,11426600
2019,17,116155918,7,9,11431147
2019,5,116155924,1,9,11431148
2019,17,116155929,118.46,9,11431150
2019,5,116155936,14.5,1,11431151
2019,17,116155936,1,1,11431152
2019,12,116155953,1,3,11431153
2019,5,116155954,0.63,1,11431154
2019,5,116155962,1,9,11431155
2019,5,116155969,1,1,11431156
2019,12,116155969,1,1,11431157
2019,12,116155972,0.64,1,11431159
2019,5,116155977,1,9,11431160
2019,5,116153295,7.21,1,11426612
2019,5,116156017,1.68,9,11431164
2019,5,116156025,2,9,11431165
2019,5,116156029,1,9,11431167
2019,17,116156042,14,9,11431170
2019,12,116156046,1,9,11431171
2019,5,116156053,80.41,1,11431172
2019,4,116156085,0.8,1,11431174
2019,5,116149042,0.6,1,11435517
2019,5,116156087,1.58,1,11431175
2019,17,116156088,0.63,1,11431176
2019,17,116156089,0.1,5,11431177
2019,17,116156093,5,9,11431178
2019,17,116156099,1,1,11431179
2019,5,116156101,1,1,11431180
2019,5,116156103,1,1,11431182
2019,16,116153401,1,9,11426639
2019,12,116156107,8.9,1,11431183
2019,5,116153410,1,9,11431184
2019,5,116156119,0.19,1,11431185
2019,5,116156130,3.39,1,11431186
2019,12,121579727,0.8,1,13108271
2019,5,121579727,1.1,1,13108270
2019,12,121579763,0.6,1,13108277
2019,5,121564194,3.4,1,13119136
2019,12,121564194,0.7,1,13108269
2019,12,121564200,0.3,1,13108272
2019,5,121578121,1,9,13113997
2019,12,121564280,0.5,1,13119151
2019,8,121564334,43.5,9,13119152
2019,5,121579902,1.3,1,13108294
2019,5,121564399,7,9,13108295
2019,12,121564399,9,1,13108296
2019,5,121584576,1.5,1,13114011
2019,5,121578288,1,9,13114021
2019,8,121584754,1,9,13108375
2019,8,121584645,3.5,9,13108338
2019,5,121584676,2.1,1,13108347
2019,12,121584739,0.25,1,13108369
2019,5,121584739,3.25,1,13108367
2019,12,121584810,0.2,1,13108389
2019,16,121584863,9.9,1,13108404
2019,17,121578323,3,9,13114030
2019,8,121584893,11,9,13108411
2019,5,121585020,2,9,13108436
2019,8,121585134,1,9,13108449
2019,8,121585141,1,1,13108451
2019,5,121585153,2,9,13108453
2019,8,121585153,5,9,13108454
2019,5,121585162,1,9,13108457
2019,4,121585175,1,1,13108463
2019,5,121584597,7,1,13114015
2019,4,122850336,12.27,1,13384446
2019,12,122850336,1.3,1,13384447
2019,4,122850474,4.45,1,13381113
2019,17,122854774,1,9,13384468
2019,5,122850502,2.3,1,13381123
2019,5,122850540,0.29,1,13381133
2019,12,122850540,0.37,1,13381134
2019,12,122850569,0.41,1,13381141
2019,12,122850669,1.83,1,13384505
2019,12,122850676,940,1,13381160
2019,4,122855142,1.28,1,13381167
2019,12,122855142,1.13,1,13381168
2019,4,122855218,1,11,13384534
2019,5,122855264,12.49,1,13384536
2019,16,122850797,1,9,13384545
2019,12,122851111,0.59,1,13381260
2019,4,122851111,1.56,1,13381259
2019,5,122851127,0.28,1,13381264
2019,8,122851127,1,5,13381265
2019,5,122855797,2,1,13381279
2019,12,122855797,0.2,1,13384639
2019,4,122849999,45.12,1,13381040
2019,12,122849999,1.25,1,13381041
2019,12,122850055,2.1,1,13381053
